run_id,run_type,model_name,model_family,model_type,dataset_name,is_time_series,column_size,row_size,evaluation_metric,evaluation_value,duration,sql,explainability
09602be3-b98c-4469-a545-d60858cee4a9,inference,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_regressor_184787a9,regression,DNN_REGRESSOR,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,3.58,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_dnn_regressor_184787a9`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`))",None
ed1736a3-ea85-4516-b81e-680aaf87af5d,inference,crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_linear_reg_73778be1,regression,LINEAR_REG,sunroof_solar.solar_potential_by_postal_code,FALSE,32,11516,,,2.32,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.yearly_sunlight_kwh_median_linear_reg_73778be1`, (SELECT * FROM `bigquery-public-data.sunroof_solar.solar_potential_by_postal_code`))",Intrinsic
205b03b5-2da8-4ef3-aa5a-8c2fd502a169,training,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_linear_reg_61958740,regression,LINEAR_REG,thelook_ecommerce.orders,TRUE,9,124429,mean_squared_error,0.6542399182141366,21.47,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_linear_reg_61958740`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['num_of_item'])
                AS
                (SELECT * EXCEPT(created_at, delivered_at, returned_at, shipped_at) FROM `bigquery-public-data.thelook_ecommerce.orders`
                WHERE num_of_item IS NOT NULL)",Intrinsic
c0b18416-08f5-4496-b62f-894adfdfb2e7,inference,crypto-isotope-366706.sql_knowledge_base.num_of_item_new_linear_reg_61958740,regression,LINEAR_REG,thelook_ecommerce.orders,TRUE,9,124429,,,0.82,"SELECT * FROM ML.PREDICT(MODEL `crypto-isotope-366706.sql_knowledge_base.num_of_item_new_linear_reg_61958740`, (SELECT * FROM `bigquery-public-data.thelook_ecommerce.orders` WHERE delivered_at = '2021-01-08 23:11:00+00:00' AND gender = 'F'))",Intrinsic
91a02eac-cdfe-45bc-adbe-0183293487e3,training,crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_boosted_tree_regressor_c9a5d7e4,regression,BOOSTED_TREE_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,184379635116.8662,285.08,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_boosted_tree_regressor_c9a5d7e4`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['Employer_contrib_govt_and_social_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Employer_contrib_govt_and_social_insurance IS NOT NULL)",SHAP
81d72c33-3ef9-4620-9a2d-67d7d7d9405b,training,crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_dnn_linear_combined_regressor_908cccfd,regression,DNN_LINEAR_COMBINED_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,122318860192499.22,286.91,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_dnn_linear_combined_regressor_908cccfd`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['Employer_contrib_govt_and_social_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Employer_contrib_govt_and_social_insurance IS NOT NULL)",None
39773c1f-7db7-4a26-8c52-42d83951378f,training,crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_dnn_regressor_17a69415,regression,DNN_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,122318933520206.19,409.88,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_dnn_regressor_17a69415`
                OPTIONS(model_type='DNN_REGRESSOR', INPUT_LABEL_COLS=['Employer_contrib_govt_and_social_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Employer_contrib_govt_and_social_insurance IS NOT NULL)",None
750b05a0-348a-494b-a107-6b37aacc8e18,training,crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_linear_reg_43f7e0e1,regression,LINEAR_REG,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,162038814001.51047,55.15,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_linear_reg_43f7e0e1`
                OPTIONS(model_type='LINEAR_REG', INPUT_LABEL_COLS=['Employer_contrib_govt_and_social_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Employer_contrib_govt_and_social_insurance IS NOT NULL)",Intrinsic
81249c26-bc25-4cb0-8ac7-9a86dae7d65a,training,crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_random_forest_regressor_cdc7869c,regression,RANDOM_FOREST_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,4486705025110.982,282.92,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Employer_contrib_govt_and_social_insurance_new_random_forest_regressor_cdc7869c`
                OPTIONS(model_type='RANDOM_FOREST_REGRESSOR', INPUT_LABEL_COLS=['Employer_contrib_govt_and_social_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Employer_contrib_govt_and_social_insurance IS NOT NULL)",SHAP
923a4069-77ff-4c1b-a6fa-3eaa1a21e17c,training,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_boosted_tree_regressor_e03ea9bb,regression,BOOSTED_TREE_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,10747221052.963945,1.04,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_boosted_tree_regressor_e03ea9bb`
                OPTIONS(model_type='BOOSTED_TREE_REGRESSOR', INPUT_LABEL_COLS=['Unemployment_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Unemployment_insurance IS NOT NULL)",SHAP
2d6e613e-b0e5-473c-9600-20f3f89a0b79,training,crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_linear_combined_regressor_3ef78ded,regression,DNN_LINEAR_COMBINED_REGRESSOR,sdoh_bea_cainc30.fips,TRUE,34,22386,mean_squared_error,895855552347.3109,890.68,"CREATE MODEL IF NOT EXISTS `crypto-isotope-366706.sql_knowledge_base.Unemployment_insurance_new_dnn_linear_combined_regressor_3ef78ded`
                OPTIONS(model_type='DNN_LINEAR_COMBINED_REGRESSOR', INPUT_LABEL_COLS=['Unemployment_insurance'])
                AS
                (SELECT * EXCEPT(Year) FROM `bigquery-public-data.sdoh_bea_cainc30.fips`
                WHERE Unemployment_insurance IS NOT NULL)",None
