dataset,table,task,algorithm,model_id,num_rows,num_features,r2,rmse,mae,fit_time,score_time
noaa_tsunami,historical_runups,regression,xgboost,41,28295,30,0.8424208164215088,1642.5187213544934,842.0523681640625,0.08451765030622482,0.0015108529478311539
sunroof_solar,solar_potential_by_postal_code,regression,random_forest,34,11516,29,0.9978017807006836,4154.427517721305,1585.5089111328125,19.719223022460938,0.04528041556477547
sunroof_solar,solar_potential_by_postal_code,regression,bayesian_ridge,38,11516,29,1.0,0.04147356270479203,0.02560354582965374,0.14184580743312836,0.004128273110836744
noaa_tsunami,historical_runups,regression,bagging,45,28295,30,0.9310747385025024,1090.1474670887421,310.0282287597656,1.6999224424362183,0.01447770930826664
sunroof_solar,solar_potential_by_postal_code,regression,linear,39,11516,29,1.0,0.06486799995995993,0.039269283413887024,0.002233878942206502,0.008509372361004353
noaa_tsunami,historical_runups,regression,random_forest,44,28295,30,0.9055450558662415,1294.327866114301,329.9543762207031,15.390894889831543,0.08064687252044678
sunroof_solar,solar_potential_by_postal_code,regression,stochastic_gradient_descent,40,11516,29,,,,0.11273171752691269,0.002229739911854267
noaa_tsunami,historical_runups,regression,ada_boost,42,28295,30,0.373244047164917,3235.3489765402433,2395.781982421875,0.41388916969299316,0.006807698868215084
noaa_tsunami,historical_runups,regression,catboost,43,28295,30,0.9249662160873413,1116.090554121842,520.6858520507812,2.3451526165008545,0.023120220750570297
noaa_tsunami,historical_runups,regression,svm,46,28295,30,-0.24347305297851562,4570.0317285550655,2162.516845703125,26.801467895507812,3.664369821548462
noaa_tsunami,historical_runups,regression,elastic_net,47,28295,30,0.2787895202636719,3438.6956829588744,2257.43310546875,0.09016716480255127,0.016312943771481514
noaa_tsunami,historical_runups,regression,bayesian_ridge,48,28295,30,0.27753275632858276,3468.9391750216664,2230.359130859375,0.1875390261411667,0.009882858023047447
noaa_tsunami,historical_runups,regression,linear,49,28295,30,0.2632753849029541,3414.9489015210756,2204.887451171875,0.012006985954940319,0.008951676078140736
noaa_tsunami,historical_runups,regression,stochastic_gradient_descent,50,28295,30,-8.146949756382355e+23,,,0.09246540814638138,0.006165372207760811
noaa_tsunami,historical_runups,regression,stochastic_gradient_descent,60,28295,30,-1.048617299337869e+31,,,0.07309970259666443,0.004759746138006449
noaa_tsunami,historical_runups,regression,xgboost,51,28295,30,0.37407785654067993,4.943576598472096,1.4388595819473267,0.08450866490602493,0.002038232982158661
noaa_tsunami,historical_runups,regression,ada_boost,52,28295,30,-1.4446907043457031,9.62186688047725,6.3132758140563965,1.1233396530151367,0.011121995747089386
thelook_ecommerce,orders,regression,bagging,65,124990,2,-38532584308736.0,0.5552345050228166,0.554740309715271,0.1065392717719078,0.005009450018405914
noaa_tsunami,historical_runups,regression,catboost,53,28295,30,0.3627426028251648,5.751618530696924,1.391282081604004,2.354001998901367,0.0230710469186306
thelook_ecommerce,orders,regression,xgboost,61,124990,2,-34829628342272.0,0.5278819128528274,0.5273420810699463,0.056052111089229584,0.0010771550005301833
noaa_tsunami,historical_runups,regression,random_forest,54,28295,30,0.26889145374298096,4.772423669315557,1.0502290725708008,26.42205810546875,0.042029980570077896
noaa_tsunami,historical_runups,regression,bagging,55,28295,30,0.10699617862701416,6.224235530623325,1.2819150686264038,2.661222219467163,0.010194335132837296
noaa_tsunami,historical_runups,regression,svm,56,28295,30,-0.0014740228652954102,5.489106921877609,0.9249320030212402,3.1497113704681396,0.37987443804740906
thelook_ecommerce,orders,regression,ada_boost,62,124990,2,-68619119624192.0,0.7409432270757046,0.7404597997665405,0.19264917075634003,0.005041304975748062
noaa_tsunami,historical_runups,regression,elastic_net,57,28295,30,0.06270331144332886,6.5188878806464725,1.482845425605774,0.0722028836607933,0.02261832356452942
noaa_tsunami,historical_runups,regression,bayesian_ridge,58,28295,30,0.06666743755340576,5.677370209984611,1.4001414775848389,0.15551230311393738,0.008816751651465893
thelook_ecommerce,orders,regression,bayesian_ridge,68,124990,2,-34692237623296.0,0.5268397430533641,0.52667236328125,0.02495962753891945,0.003844660008326173
noaa_tsunami,historical_runups,regression,linear,59,28295,30,0.08520781993865967,6.4429188855571615,1.531046748161316,0.011664628982543945,0.0009335540235042572
thelook_ecommerce,orders,regression,svm,66,124990,2,-1249921073152.0,0.10000084172580043,0.10000021010637283,380.5222473144531,24.25772476196289
thelook_ecommerce,orders,regression,catboost,63,124990,2,-38884616437760.0,0.5577650258354151,0.5572217106819153,3.1026041507720947,0.013656663708388805
thelook_ecommerce,orders,regression,random_forest,64,124990,2,-38962093621248.0,0.5583204120829929,0.5577431321144104,0.8799332976341248,0.023656679317355156
thelook_ecommerce,orders,regression,stochastic_gradient_descent,70,124990,2,-30161602871296.0,0.49123531152154304,0.49115893244743347,0.07945960015058517,0.0035223818849772215
thelook_ecommerce,orders,regression,elastic_net,67,124990,2,-31150900772864.0,0.4992265530545036,0.499221533536911,0.027505047619342804,0.024233335629105568
thelook_ecommerce,orders,regression,linear,69,124990,2,-31729314168832.0,0.5038400650916507,0.5037292838096619,0.0009475440019741654,0.00854218564927578
sdoh_bea_cainc30,fips,regression,xgboost,71,22386,31,-1.1632866859436035,,13339.1337890625,0.15028882026672363,0.0015219870256260037
sdoh_bea_cainc30,fips,regression,ada_boost,72,22386,31,0.9417672157287598,,77208.3359375,2.928614616394043,0.013921662233769894
sdoh_bea_cainc30,fips,regression,catboost,73,22386,31,0.579619288444519,,14155.7177734375,2.2442102432250977,0.020217284560203552
sdoh_bea_cainc30,fips,regression,random_forest,74,22386,31,0.9719286561012268,49972.2726319306,2728.25537109375,65.21858978271484,0.06601765751838684
sdoh_bea_cainc30,fips,regression,random_forest,84,22386,31,0.9632025361061096,,25929.283203125,69.74691009521484,0.08800844848155975
sdoh_bea_cainc30,fips,regression,bagging,75,22386,31,0.9951783418655396,22108.131354775327,1742.7027587890625,6.533775806427002,0.011345365084707737
sdoh_bea_cainc30,fips,regression,svm,76,22386,31,-0.002534151077270508,,40829.04296875,18.00522804260254,2.320512294769287
sdoh_bea_cainc30,fips,regression,elastic_net,77,22386,31,0.9740377068519592,,29483.49609375,1.022084355354309,0.014887896366417408
sdoh_bea_cainc30,fips,regression,bagging,85,22386,31,0.9979639649391174,,26935.9609375,7.231138706207275,0.012285509146749973
sdoh_bea_cainc30,fips,regression,bayesian_ridge,78,22386,31,1.0,0.5895560617733301,0.11863914877176285,0.19059452414512634,0.007306830026209354
